"","X.1","X","customer.id","Name.x","default","Personal.status","Present.residence.since","Present.employment.since","Job","age","Housing","Telephone","foreign.worker","Account.Status","Duration.in.Month","Savings.account.bonds","Property","Credit.history","Purpose","Credit.amount","Installment.rate","guarantors","Other.installment.plans","Number.of.existing.credits","liable.to.provide.maintenance"
"254",254,254,"CG-1204092","Catherine Glotzbach",1,"male   : single",4,7,"skilled employee ",37,"own","yes","yes",10,36,90,"car or other","critical account"," New Car",3535,4,"none","none",2,1
"255",255,255,"CG-125207","Claire Gute",1,"female : divorced/separated",4,4,"skilled employee ",21,"own","yes","yes",10,60,150,"real estate","existing credits paid back duly till now","radio/television",10144,2,"none","none",1,1
"256",256,256,"CH-207060","Cathy Hwang",1,"male   : single",4,10,"unskilled ",38,"own","none","yes",50,15,90,"car or other","existing credits paid back duly till now","repairs",1308,4,"none","none",2,1
"257",257,257,"CJ-1187527","Carl Jackson",2,"male   : single",2,4,"skilled employee ",31,"rent","yes","yes",0,24,90,"life insurance","all credits at this bank paid back duly","business",3161,4,"none","none",1,1
"258",258,258,"CJ-118757","Carl Jackson",1,"male   : single",3,7,"management",45,"own","yes","yes",10,6,90,"","critical account"," New Car",6761,1,"none","none",2,2
"259",259,259,"CJ-1201027","Caroline Jumper",1,"female : divorced/separated",2,3,"skilled employee ",36,"own","yes","yes",250,12,80,"car or other","delay in paying off in the past"," New Car",2247,2,"none","stores",2,1
"260",260,260,"CK-1220564","Chloris Kastensmidt",2,"female : divorced/separated",4,3,"skilled employee ",24,"own","none","yes",50,8,80,"real estate","existing credits paid back duly till now","furniture/equipment",1237,3,"none","none",1,1
"261",261,261,"CK-1259592","Clytie Kelty",2,"male   : married/widowed",4,3,"skilled employee ",20,"own","none","yes",0,24,90,"car or other","existing credits paid back duly till now","furniture/equipment",2996,2,"none","none",1,1
"262",262,262,"CK-1276045","Cyma Kinney",1,"male   : single",2,10,"skilled employee ",34,"own","none","yes",10,24,2500,"car or other","critical account","radio/television",2578,2,"none","none",1,1
"263",263,263,"CL-1189018","Carl Ludwig",2,"female : divorced/separated",4,1,"skilled employee ",23,"rent","yes","yes",10,36,90,"life insurance","critical account","furniture/equipment",7127,2,"none","none",2,1
"264",264,264,"CL-1270058","Craig Leslie",2,"male   : married/widowed",3,5,"unskilled ",25,"own","none","yes",50,12,80,"car or other","existing credits paid back duly till now"," New Car",685,2,"none","Bank",1,1
"265",265,265,"CM-1181597","Candace McMahon",1,"female : divorced/separated",1,3,"unskilled ",43,"own","none","yes",10,24,1500,"real estate","critical account","radio/television",1516,4,"none","none",2,1
"266",266,266,"CM-1183045","Cari MacIntyre",1,"male   : single",3,6,"skilled employee ",40,"own","none","yes",10,24,90,"life insurance","critical account","furniture/equipment",1585,4,"none","none",2,1
"267",267,267,"CM-1193518","Carlos Meador",2,"male   : single",4,1,"skilled employee ",30,"for free","yes","yes",0,24,900,"","all credits at this bank paid back duly","furniture/equipment",3349,4,"none","none",1,2
"268",268,268,"CM-1193527","Carlos Meador",2,"male   : single",4,10,"skilled employee ",24,"for free","none","yes",0,48,80,"","all credits paid back duly","Used Car",4605,3,"none","none",2,2
"269",269,269,"CM-1193531","Carlos Meador",1,"male   : single",4,10,"skilled employee ",63,"own","yes","yes",0,24,90,"life insurance","critical account","Used Car",2957,4,"none","none",2,1
"270",270,270,"CM-1211564","Chad McGuire",2,"male   : single",3,3,"management",29,"own","yes","yes",50,24,80,"car or other","existing credits paid back duly till now","Others",11328,2,"co-applicant","Bank",2,1
"271",271,271,"CM-121157","Chad McGuire",1,"male   : married/widowed",4,8,"unskilled ",41,"rent","none","yes",10,24,150,"real estate","existing credits paid back duly till now"," New Car",1469,4,"none","none",1,1
"272",272,272,"CM-1211578","Chad McGuire",2,"female : divorced/separated",4,7,"skilled employee ",32,"rent","none","yes",0,24,90,"","existing credits paid back duly till now"," New Car",1285,4,"none","none",1,1
"273",273,273,"CM-1216027","Charles McCrossin",2,"female : divorced/separated",4,10,"management",42,"for free","yes","yes",50,27,90,"","all credits paid back duly","business",8318,2,"none","none",2,1
"274",274,274,"CM-1216093","Charles McCrossin",2,"male   : single",4,10,"skilled employee ",31,"own","none","yes",0,36,80,"car or other","all credits at this bank paid back duly","furniture/equipment",2746,4,"none","Bank",1,1
"275",275,275,"CM-1219045","Charlotte Melton",2,"female : divorced/separated",4,6,"unskilled ",34,"for free","none","yes",50,24,90,"","all credits at this bank paid back duly","education",1837,4,"none","Bank",1,1
"276",276,276,"CM-12235139","Chris McAfee",1,"male   : single",4,6,"skilled employee ",26,"rent","yes","yes",250,15,90,"life insurance","existing credits paid back duly till now","business",2687,2,"none","none",1,1
"277",277,277,"CM-122357","Chris McAfee",2,"male   : single",4,10,"skilled employee ",31,"own","none","yes",10,24,490,"car or other","existing credits paid back duly till now","radio/television",3621,2,"none","none",2,1
"278",278,278,"CM-123857","Christopher Martinez",1,"male   : single",2,6,"skilled employee ",31,"own","yes","yes",10,36,400,"car or other","existing credits paid back duly till now","business",5742,2,"none","none",2,1
"279",279,279,"CM-124457","Chuck Magee",1,"female : divorced/separated",2,3,"skilled employee ",23,"rent","yes","yes",0,18,90,"car or other","delay in paying off in the past","education",8471,1,"none","none",2,1
"280",280,280,"CM-1265545","Corinna Mitchell",1,"female : divorced/separated",1,3,"skilled employee ",28,"own","yes","yes",10,6,80,"car or other","critical account","radio/television",1382,1,"none","none",2,1
"281",281,281,"CM-1271582","Craig Molinari",1,"female : divorced/separated",4,1,"skilled employee ",20,"rent","none","yes",10,12,90,"car or other","existing credits paid back duly till now","Used Car",4675,1,"none","none",1,1
"282",282,282,"CM-1830117","Cari MacIntyre",1,"male   : single",4,10,"unskilled ",64,"own","none","yes",10,9,90,"real estate","existing credits paid back duly till now","education",3832,1,"none","none",1,1
"283",283,283,"CP-1208527","Cathy Prescott",1,"male   : married/widowed",3,10,"skilled employee ",30,"own","yes","yes",0,21,90,"car or other","critical account"," New Car",1602,4,"none","none",2,1
"284",284,284,"CP-1234036","Christine Phan",1,"male   : single",3,7,"skilled employee ",32,"own","none","yes",0,24,490,"car or other","all credits at this bank paid back duly"," New Car",2325,2,"none","Bank",1,1
"285",285,285,"CP-1234058","Christine Phan",1,"male   : single",4,9,"skilled employee ",46,"own","none","yes",10,18,1500,"car or other","critical account","radio/television",1582,4,"none","none",2,1
"286",286,286,"CP-2085117","Cathy Prescott",1,"male   : single",4,3,"skilled employee ",24,"own","none","yes",10,39,900,"car or other","existing credits paid back duly till now","Used Car",2569,4,"none","none",1,1
"287",287,287,"CP-208560","Cathy Prescott",2,"male   : single",4,10,"unskilled ",57,"own","none","yes",0,12,90,"real estate","existing credits paid back duly till now","radio/television",709,4,"none","stores",1,1
"288",288,288,"CR-12580144","Clay Rozendal",1,"male   : single",2,10,"management",38,"own","yes","yes",10,36,2500,"car or other","critical account","Used Car",5711,4,"none","none",2,1
"289",289,289,"CR-126257","Corey Roper",1,"male   : single",2,2,"unskilled ",24,"rent","none","yes",10,12,80,"real estate","existing credits paid back duly till now","furniture/equipment",1768,3,"none","none",1,1
"290",290,290,"CR-1273018","Craig Reiter",1,"male   : single",1,1,"skilled employee ",23,"own","none","yes",50,15,90,"life insurance","existing credits paid back duly till now","radio/television",1444,4,"none","none",1,1
"291",291,291,"CR-1273028","Craig Reiter",1,"male   : married/widowed",4,5,"unskilled ",23,"rent","none","yes",10,6,700,"real estate","existing credits paid back duly till now","repairs",660,2,"none","none",1,1
"292",292,292,"CR-127307","Craig Reiter",1,"male   : single",3,4,"unskilled ",49,"own","none","yes",10,12,50,"real estate","critical account","education",2096,2,"none","none",1,2
"293",293,293,"CR-1282051","Cyra Reiten",2,"male   : single",4,3,"unskilled ",36,"own","yes","yes",50,24,90,"real estate","all credits paid back duly","business",4241,1,"none","none",3,1
"294",294,294,"CR-1282058","Cyra Reiten",1,"male   : single",4,3,"skilled employee ",50,"own","yes","yes",10,24,1500,"real estate","critical account","furniture/equipment",3777,4,"none","none",1,1
"295",295,295,"CR-2625108","Corey Roper",1,"male   : single",4,9,"skilled employee ",65,"own","none","yes",0,21,80,"real estate","critical account"," New Car",571,4,"none","none",2,1
"296",296,296,"CS-1184511","Cari Sayre",1,"male   : single",3,7,"skilled employee ",36,"own","none","yes",10,30,90,"life insurance","critical account","radio/television",6742,2,"none","none",2,1
"297",297,297,"CS-1184516","Cari Sayre",1,"female : divorced/separated",1,10,"skilled employee ",49,"own","yes","yes",0,6,90,"life insurance","existing credits paid back duly till now","furniture/equipment",428,2,"none","Bank",1,1
"298",298,298,"CS-1184527","Cari Sayre",1,"female : divorced/separated",4,3,"skilled employee ",28,"own","none","yes",0,24,90,"car or other","existing credits paid back duly till now","radio/television",3660,2,"none","none",1,1
"299",299,299,"CS-1184558","Cari Sayre",2,"male   : single",4,8,"skilled employee ",57,"for free","yes","yes",150,36,50,"","delay in paying off in the past"," New Car",2225,4,"none","Bank",2,1
"300",300,300,"CS-118608","Cari Schnelling",2,"male   : single",2,5,"unskilled ",37,"own","none","yes",250,24,90,"real estate","critical account"," New Car",1344,4,"none","Bank",2,2
"301",301,301,"CS-11950124","Carlos Soltero",1,"female : divorced/separated",1,1,"skilled employee ",27,"own","none","yes",0,6,80,"real estate","existing credits paid back duly till now","domestic appliances",343,4,"none","none",1,1
"302",302,302,"CS-121307","Chad Sievert",2,"male   : single",2,3,"skilled employee ",28,"rent","yes","yes",0,12,80,"life insurance","all credits paid back duly","radio/television",6199,4,"none","none",2,1
"303",303,303,"CS-12175130","Charles Sheldon",1,"male   : single",3,10,"skilled employee ",39,"own","none","yes",0,30,80,"life insurance","existing credits paid back duly till now","radio/television",2522,1,"guarantor","none",1,2
"304",304,304,"CS-121757","Charles Sheldon",1,"female : divorced/separated",2,3,"skilled employee ",26,"own","none","yes",10,18,80,"car or other","critical account","radio/television",2404,2,"none","none",2,1
"305",305,305,"CS-123557","Christine Sundaresam",1,"male   : married/widowed",2,1,"skilled employee ",28,"own","none","yes",10,24,90,"real estate","existing credits paid back duly till now"," New Car",1249,4,"none","none",1,1
"306",306,306,"CS-1246011","Chuck Sachs",1,"male   : single",4,2,"unskilled ",39,"own","none","yes",10,11,50,"life insurance","critical account"," New Car",7228,1,"none","none",2,1
"307",307,307,"CS-1246058","Chuck Sachs",2,"male   : single",3,10,"management",40,"own","yes","yes",0,24,90,"car or other","all credits at this bank paid back duly","Others",1358,4,"none","stores",1,1
"308",308,308,"CS-1246093","Chuck Sachs",1,"male   : married/widowed",2,3,"unskilled ",21,"own","none","yes",0,24,80,"car or other","existing credits paid back duly till now","business",6568,2,"none","stores",1,1
"309",309,309,"CS-1249082","Cindy Schnelling",2,"female : divorced/separated",1,1,"skilled employee ",27,"own","none","yes",0,24,90,"life insurance","existing credits paid back duly till now"," New Car",3123,4,"none","none",1,1
"310",310,310,"CT-1199566","Carol Triggs",1,"male   : divorced/separated",2,3,"unskilled ",24,"rent","none","yes",0,24,80,"real estate","existing credits paid back duly till now","furniture/equipment",3021,2,"none","none",1,1
"311",311,311,"CV-1280566","Cynthia Voltz",1,"female : divorced/separated",3,1,"unskilled ",23,"rent","none","yes",10,4,90,"real estate","existing credits paid back duly till now","furniture/equipment",601,1,"none","none",1,2
"312",312,312,"CV-2805134","Cynthia Voltz",2,"male   : divorced/separated",4,1,"skilled employee ",27,"own","none","yes",50,36,90,"car or other","critical account"," New Car",2820,4,"none","none",2,1
"313",313,313,"CV-280572","Cynthia Voltz",1,"male   : single",4,4,"skilled employee ",26,"own","none","yes",10,27,80,"car or other","delay in paying off in the past","business",5117,3,"none","none",2,1
"314",314,314,"CY-1274558","Craig Yedwab",1,"male   : single",2,10,"skilled employee ",31,"own","none","yes",250,36,80,"car or other","existing credits paid back duly till now","radio/television",4473,4,"none","none",1,1
"315",315,315,"CY-1274582","Craig Yedwab",1,"male   : single",1,5,"skilled employee ",31,"own","yes","yes",0,18,80,"life insurance","all credits paid back duly","business",3104,3,"none","Bank",1,1
"316",316,316,"DA-1345031","Dianna Arnett",1,"male   : single",4,3,"skilled employee ",36,"own","yes","yes",10,42,900,"real estate","critical account","furniture/equipment",4042,4,"none","none",2,1
"317",317,317,"DA-1345055","Dianna Arnett",2,"male   : divorced/separated",2,3,"skilled employee ",38,"own","none","yes",10,48,90,"real estate","existing credits paid back duly till now","business",3914,4,"none","Bank",1,1
"318",318,318,"DB-1297045","Darren Budd",1,"male   : single",4,10,"skilled employee ",36,"for free","none","yes",10,6,90,"","critical account","radio/television",700,4,"none","none",2,1
"319",319,319,"DB-1306027","Dave Brooks",1,"male   : single",3,3,"unskilled ",38,"own","none","yes",0,12,80,"life insurance","existing credits paid back duly till now","furniture/equipment",708,2,"guarantor","none",1,2
"320",320,320,"DB-1306045","Dave Brooks",1,"female : divorced/separated",1,1,"skilled employee ",22,"rent","none","yes",0,12,90,"car or other","existing credits paid back duly till now","furniture/equipment",1858,4,"none","none",1,1
"321",321,321,"DB-1306048","Dave Brooks",1,"male   : married/widowed",2,2,"unskilled ",40,"own","none","yes",0,12,80,"real estate","existing credits paid back duly till now","radio/television",701,4,"none","none",1,1
"322",322,322,"DB-130607","Dave Brooks",1,"male   : single",3,8,"skilled employee ",54,"own","none","yes",0,12,70,"real estate","critical account","Used Car",1409,4,"none","none",1,1
"323",323,323,"DB-13210120","Dean Braden",2,"male   : single",4,10,"skilled employee ",36,"rent","none","yes",0,60,90,"","existing credits paid back duly till now","business",7297,4,"co-applicant","none",1,1
"324",324,324,"DB-13210139","Dean Braden",2,"female : divorced/separated",1,3,"skilled employee ",42,"own","yes","yes",50,36,80,"car or other","all credits paid back duly","radio/television",3804,4,"none","none",1,1
"325",325,325,"DB-1321036","Dean Braden",1,"male   : single",4,10,"skilled employee ",40,"own","none","yes",10,22,900,"car or other","existing credits paid back duly till now","radio/television",2675,3,"none","none",1,1
"326",326,326,"DB-1340527","Denny Blanton",1,"male   : single",2,8,"management",30,"own","yes","yes",150,27,50,"car or other","delay in paying off in the past","Used Car",5965,1,"none","none",2,1
"327",327,327,"DB-1340582","Denny Blanton",2,"male   : single",2,4,"unskilled ",45,"own","none","yes",0,28,90,"car or other","existing credits paid back duly till now"," New Car",4006,3,"none","none",1,1
"328",328,328,"DB-3360146","Dennis Bolton",2,"female : divorced/separated",2,1,"management",24,"own","none","yes",50,60,250,"life insurance","existing credits paid back duly till now"," New Car",7408,4,"none","none",1,1
"329",329,329,"DB-3660107","Duane Benoit",1,"male   : single",4,0,"management",36,"for free","yes","yes",190,48,90,"","all credits at this bank paid back duly"," New Car",12169,4,"co-applicant","none",1,1
"330",330,330,"DC-1328551","Debra Catini",1,"male   : single",4,6,"skilled employee ",21,"own","yes","yes",10,60,90,"car or other","delay in paying off in the past","radio/television",15653,2,"none","none",2,1
"331",331,331,"DC-1328582","Debra Catini",1,"male   : divorced/separated",4,0,"management",60,"own","yes","yes",10,20,90,"real estate","existing credits paid back duly till now","Used Car",6468,1,"none","none",1,1
"332",332,332,"DG-1330082","Deirdre Greer",1,"male   : single",4,3,"skilled employee ",44,"own","yes","yes",10,12,900,"real estate","critical account"," New Car",1163,4,"none","none",1,1
"333",333,333,"DG-330087","Deirdre Greer",2,"female : divorced/separated",4,8,"unskilled ",58,"for free","none","yes",0,48,50,"","critical account","Used Car",6143,4,"none","stores",2,1
"334",334,334,"DH-13675139","Duane Huffman",1,"male   : single",2,3,"management",30,"own","yes","yes",10,36,90,"car or other","critical account","Used Car",11054,4,"none","none",1,1
"335",335,335,"DH-367577","Duane Huffman",1,"male   : single",2,10,"skilled employee ",29,"own","none","yes",10,28,80,"car or other","critical account","radio/television",2743,4,"none","none",2,1
"336",336,336,"DJ-1342045","Denny Joy",2,"male   : single",2,0,"skilled employee ",43,"for free","none","yes",0,24,90,"real estate","delay in paying off in the past"," New Car",1333,4,"none","none",2,2
"337",337,337,"DJ-1342064","Denny Joy",2,"male   : single",4,4,"skilled employee ",23,"for free","yes","yes",0,45,90,"","existing credits paid back duly till now","radio/television",1845,4,"none","none",1,1
"338",338,338,"DJ-1342082","Denny Joy",1,"male   : single",4,1,"skilled employee ",23,"own","none","yes",50,13,80,"real estate","critical account","radio/television",882,4,"guarantor","none",2,1
"339",339,339,"DJ-3510137","Don Jones",1,"female : divorced/separated",4,9,"skilled employee ",39,"own","yes","yes",0,6,80,"","critical account"," New Car",860,1,"none","none",2,1
"340",340,340,"DJ-88887148","Denny Joy",2,"male   : single",2,0,"management",34,"own","yes","yes",50,15,300,"life insurance","all credits at this bank paid back duly"," New Car",6850,1,"none","none",1,2
"341",341,341,"DK-12835120","Damala Kotsonis",1,"male   : single",3,1,"unskilled ",27,"own","none","yes",10,15,80,"life insurance","existing credits paid back duly till now","furniture/equipment",2708,2,"none","Bank",2,1
"342",342,342,"DK-1283536","Damala Kotsonis",2,"male   : married/widowed",1,1,"unskilled ",43,"own","none","yes",10,18,90,"life insurance","existing credits paid back duly till now","furniture/equipment",1533,4,"co-applicant","none",1,2
"343",343,343,"DK-1289559","Dana Kaydos",2,"male   : single",4,10,"management",66,"own","yes","yes",250,30,80,"real estate","delay in paying off in the past","business",1908,4,"none","none",1,1
"344",344,344,"DK-1298518","Darren Koutras",1,"male   : single",2,4,"management",20,"rent","yes","yes",0,12,90,"real estate","existing credits paid back duly till now","radio/television",1107,2,"none","none",1,2
"345",345,345,"DK-1298539","Darren Koutras",2,"male   : single",2,1,"unskilled ",31,"own","none","yes",50,18,90,"real estate","critical account","furniture/equipment",1928,2,"none","none",2,1
"346",346,346,"DK-1298558","Darren Koutras",1,"male   : single",2,4,"skilled employee ",31,"own","yes","yes",10,24,90,"real estate","existing credits paid back duly till now"," New Car",1393,2,"guarantor","none",1,1
"347",347,347,"DK-1298582","Darren Koutras",2,"male   : single",4,4,"skilled employee ",39,"for free","yes","yes",500,15,90,"","critical account","radio/television",1271,3,"none","none",2,1
"348",348,348,"DK-13090120","Dave Kipp",1,"male   : single",1,2,"skilled employee ",31,"own","yes","yes",10,18,0,"life insurance","existing credits paid back duly till now","Used Car",3378,2,"none","none",1,1
"349",349,349,"DK-1309027","Dave Kipp",2,"male   : divorced/separated",1,1,"skilled employee ",28,"own","none","yes",10,36,80,"car or other","delay in paying off in the past","business",9572,1,"none","none",2,1
"350",350,350,"DK-1315031","David Kendrick",2,"male   : single",2,7,"skilled employee ",49,"own","none","yes",10,30,90,"life insurance","critical account","furniture/equipment",8386,2,"none","none",1,1
"351",351,351,"DK-1315039","David Kendrick",1,"female : divorced/separated",4,10,"skilled employee ",42,"own","yes","yes",10,24,90,"car or other","existing credits paid back duly till now","radio/television",5084,2,"none","none",1,1
"352",352,352,"DK-1315048","David Kendrick",2,"female : divorced/separated",4,3,"unskilled ",24,"rent","none","yes",10,48,250,"car or other","critical account","Used Car",11590,2,"none","Bank",2,1
"353",353,353,"DK-1337582","Dennis Kane",1,"male   : single",1,1,"skilled employee ",22,"for free","none","yes",0,24,80,"","existing credits paid back duly till now","furniture/equipment",3149,4,"none","Bank",1,1
"354",354,354,"DK-337533","Dennis Kane",1,"male   : married/widowed",4,3,"skilled employee ",20,"rent","none","yes",50,12,90,"real estate","delay in paying off in the past","radio/television",585,4,"co-applicant","none",2,1
"355",355,355,"DL-128657","Dan Lawera",1,"male   : single",2,2,"skilled employee ",30,"own","yes","yes",100,18,150,"car or other","existing credits paid back duly till now"," New Car",5866,2,"none","none",2,1
"356",356,356,"DL-129257","Daniel Lacy",1,"female : divorced/separated",1,3,"skilled employee ",27,"own","none","yes",10,6,300,"life insurance","critical account","radio/television",1237,1,"none","none",2,1
"357",357,357,"DL-13315139","Delfina Latchford",1,"female : divorced/separated",3,1,"skilled employee ",34,"own","none","yes",10,12,90,"car or other","existing credits paid back duly till now","radio/television",1493,4,"none","none",1,2
"358",358,358,"DL-1333058","Denise Leinenbach",1,"male   : single",2,5,"management",35,"own","yes","yes",10,33,80,"car or other","critical account","Used Car",7253,3,"none","none",2,1
"359",359,359,"Dl-13600130","Dorris liebe",1,"female : divorced/separated",3,4,"skilled employee ",64,"own","none","yes",10,6,90,"real estate","existing credits paid back duly till now","radio/television",753,2,"guarantor","none",1,1
"360",360,360,"Dl-1360045","Dorris liebe",1,"male   : single",4,3,"skilled employee ",52,"own","yes","yes",10,12,90,"car or other","existing credits paid back duly till now","radio/television",3077,2,"none","none",1,1
"361",361,361,"DL-333061","Denise Leinenbach",1,"male   : single",4,4,"unskilled ",35,"own","yes","yes",0,18,490,"car or other","existing credits paid back duly till now"," New Car",4380,3,"none","none",1,2
"362",362,362,"DM-1295545","Dario Medina",1,"male   : single",4,3,"management",29,"rent","yes","yes",10,24,250,"car or other","existing credits paid back duly till now","radio/television",1901,4,"none","none",1,1
"363",363,363,"DM-1295551","Dario Medina",2,"female : divorced/separated",2,2,"skilled employee ",29,"own","none","yes",0,12,80,"real estate","critical account"," New Car",3499,3,"co-applicant","none",2,1
"364",364,364,"DM-1301564","Darrin Martin",1,"male   : single",3,10,"skilled employee ",30,"for free","none","yes",20,36,400,"","delay in paying off in the past"," New Car",2862,4,"none","none",1,1
"365",365,365,"DM-130157","Darrin Martin",2,"male   : single",4,10,"management",68,"own","yes","yes",0,6,90,"","existing credits paid back duly till now"," New Car",14896,1,"none","Bank",1,1
"366",366,366,"DM-1334558","Denise Monton",1,"male   : single",2,3,"skilled employee ",33,"own","none","no",190,8,80,"real estate","existing credits paid back duly till now","radio/television",1414,4,"guarantor","none",1,1
"367",367,367,"DM-1352548","Don Miller",1,"male   : single",4,8,"skilled employee ",20,"rent","none","yes",250,24,0,"","critical account","furniture/equipment",3617,4,"co-applicant","none",2,1
"368",368,368,"DM-1352558","Don Miller",1,"male   : single",4,5,"management",39,"for free","yes","yes",0,36,80,"","existing credits paid back duly till now"," New Car",3249,2,"none","Bank",1,2
"369",369,369,"DO-1343558","Denny Ordway",2,"male   : single",4,3,"unskilled ",40,"rent","none","yes",0,12,90,"car or other","existing credits paid back duly till now","education",684,4,"none","none",1,2
"370",370,370,"DO-343515","Denny Ordway",1,"male   : single",2,10,"skilled employee ",40,"own","yes","yes",10,30,90,"car or other","critical account","radio/television",3077,3,"none","none",2,2
"371",371,371,"DP-131057","Dave Poirier",2,"male   : single",4,8,"skilled employee ",63,"own","yes","yes",0,60,50,"","delay in paying off in the past","business",6836,3,"none","none",2,1
"372",372,372,"DP-1316558","David Philippe",1,"male   : single",2,3,"unskilled ",39,"rent","none","no",0,12,90,"real estate","critical account"," New Car",2122,3,"none","none",2,2
"373",373,373,"Dp-1324027","Dean percer",1,"male   : single",4,10,"management",63,"for free","yes","yes",10,60,90,"","critical account"," New Car",13756,2,"none","Bank",1,1
"374",374,374,"Dp-1324066","Dean percer",1,"male   : single",2,3,"unskilled ",26,"own","none","yes",10,30,250,"life insurance","delay in paying off in the past","business",4272,2,"none","none",2,1
"375",375,375,"DP-310586","Dave Poirier",2,"male   : single",4,2,"skilled employee ",37,"for free","yes","yes",10,36,70,"","existing credits paid back duly till now","education",1819,4,"none","stores",1,1
"376",376,376,"DR-1294058","Daniel Raglin",2,"male   : single",1,1,"skilled employee ",22,"own","none","yes",50,12,90,"car or other","existing credits paid back duly till now","radio/television",1331,2,"none","stores",1,1
"377",377,377,"DR-129407","Daniel Raglin",1,"male   : single",4,9,"skilled employee ",36,"own","yes","yes",10,24,250,"real estate","critical account","radio/television",2872,3,"none","none",1,2
"378",378,378,"DS-1318093","David Smith",2,"male   : single",4,10,"unskilled ",47,"own","none","yes",10,24,90,"car or other","delay in paying off in the past"," New Car",2538,4,"none","none",2,2
"379",379,379,"DV-1304559","Darrin Van Huff",1,"male   : single",1,5,"management",34,"for free","yes","yes",0,24,80,"","existing credits paid back duly till now","Used Car",2910,2,"none","none",1,1
"380",380,380,"DV-1304582","Darrin Van Huff",2,"male   : married/widowed",2,4,"skilled employee ",25,"rent","none","yes",10,15,490,"life insurance","all credits at this bank paid back duly"," New Car",1264,2,"none","none",1,1
"381",381,381,"DV-1346527","Dianna Vittorini",1,"male   : single",4,10,"unskilled ",45,"own","none","yes",10,6,900,"life insurance","all credits at this bank paid back duly","radio/television",1750,2,"none","Bank",1,2
"382",382,382,"DV-1346539","Dianna Vittorini",1,"male   : single",4,10,"skilled employee ",36,"own","none","yes",10,36,90,"real estate","critical account","business",6304,4,"none","none",2,1
"383",383,383,"DW-134807","Dianna Wilson",1,"female : divorced/separated",4,1,"management",28,"rent","yes","yes",0,21,90,"life insurance","existing credits paid back duly till now","radio/television",2606,4,"none","none",1,1
"384",384,384,"DW-135407","Don Weiss",1,"male   : single",1,7,"unskilled ",42,"own","none","yes",10,4,90,"real estate","critical account"," New Car",1455,2,"none","none",3,2
"385",385,385,"DW-1354078","Don Weiss",2,"male   : single",3,2,"management",39,"own","yes","yes",190,24,80,"car or other","critical account","Others",11938,2,"co-applicant","none",2,2
"386",386,386,"DW-3480137","Dianna Wilson",2,"male   : single",1,0,"management",52,"own","yes","yes",150,12,0,"","existing credits paid back duly till now","radio/television",6468,2,"none","none",1,1
"387",387,387,"EB-13840139","Ellis Ballard",2,"male   : single",2,3,"skilled employee ",36,"own","yes","yes",190,27,80,"car or other","existing credits paid back duly till now","business",3915,4,"none","none",1,2
"388",388,388,"EB-1384045","Ellis Ballard",1,"male   : single",3,2,"skilled employee ",24,"own","none","yes",100,9,50,"real estate","existing credits paid back duly till now","radio/television",458,4,"none","none",1,1
"389",389,389,"EB-1384059","Ellis Ballard",2,"female : divorced/separated",1,1,"unskilled ",37,"own","none","yes",0,12,90,"real estate","existing credits paid back duly till now"," New Car",1274,3,"none","none",1,1
"390",390,390,"EB-13930139","Eric Barreto",1,"female : divorced/separated",3,3,"skilled employee ",31,"own","none","yes",10,15,300,"car or other","critical account","education",1532,4,"none","none",1,1
"391",391,391,"EB-1393059","Eric Barreto",1,"male   : single",2,3,"unskilled ",35,"rent","none","no",10,10,300,"real estate","existing credits paid back duly till now"," New Car",1418,3,"none","none",1,1
"392",392,392,"EB-13975139","Erica Bern",2,"female : divorced/separated",1,6,"skilled employee ",22,"own","none","yes",10,18,90,"real estate","delay in paying off in the past","furniture/equipment",1808,4,"none","none",1,1
"393",393,393,"EB-1397518","Erica Bern",1,"male   : single",1,6,"unskilled ",42,"own","none","yes",10,4,90,"real estate","critical account","radio/television",1503,2,"none","none",2,2
"394",394,394,"EB-1411048","Eugene Barchas",1,"male   : single",4,1,"skilled employee ",44,"own","none","yes",100,12,150,"life insurance","critical account","Used Car",1804,3,"none","none",1,1
"395",395,395,"ED-13885144","Emily Ducich",1,"male   : single",4,3,"skilled employee ",32,"own","yes","yes",10,24,90,"real estate","delay in paying off in the past","business",2978,4,"none","none",2,2
"396",396,396,"ED-1388527","Emily Ducich",1,"male   : single",2,4,"skilled employee ",27,"own","none","yes",10,24,2500,"real estate","critical account","Used Car",5804,4,"none","none",2,1
"397",397,397,"EG-13900139","Emily Grady",1,"male   : single",1,10,"skilled employee ",41,"own","yes","yes",50,18,90,"","critical account","furniture/equipment",6361,2,"none","none",1,1
"398",398,398,"EG-1390045","Emily Grady",1,"male   : single",1,1,"skilled employee ",54,"own","none","yes",10,24,90,"life insurance","existing credits paid back duly till now"," New Car",2255,4,"none","none",1,1
"399",399,399,"EH-1394564","Eric Hoffmann",2,"male   : single",2,1,"management",27,"for free","yes","yes",0,9,90,"","existing credits paid back duly till now"," New Car",1422,3,"none","none",1,1
"400",400,400,"EH-14005120","Erica Hernandez",1,"female : divorced/separated",1,3,"unskilled ",23,"own","none","yes",50,12,90,"real estate","critical account","radio/television",3573,1,"none","none",1,1
"401",401,401,"EH-14005139","Erica Hernandez",1,"male   : single",3,10,"skilled employee ",50,"own","yes","yes",10,12,90,"car or other","existing credits paid back duly till now"," New Car",2390,4,"none","none",1,1
